UserID,CourseID,Feeback,Likes,RankingScore
1,9210378202,Expanded composite middleware,false,4
2,4772909621,Horizontal fault-tolerant productivity,false,5
3,9582464321,Fully-configurable foreground moderator,false,2
4,8794069352,Mandatory web-enabled customer loyalty,false,3
5,8939238400,Automated responsive hardware,false,3
6,5218215422,Future-proofed needs-based pricing structure,true,1
7,4508205062,Devolved intermediate software,false,4
8,1419189395,Centralized explicit installation,true,5
9,4288824192,Public-key intermediate success,false,1
10,8988652754,Open-architected tertiary pricing structure,true,3
11,528989839,Configurable global extranet,false,2
12,125001061,Centralized multi-state hierarchy,true,2
13,5616983764,Balanced object-oriented emulation,false,3
14,5140139847,Progressive next generation policy,false,2
15,2628781719,Assimilated context-sensitive service-desk,true,4
16,5308677352,Versatile multimedia strategy,true,3
17,729460983,Seamless contextually-based concept,false,5
18,3969074010,Decentralized scalable product,false,2
19,5825191933,Customizable needs-based initiative,true,4
20,3491858496,Centralized bandwidth-monitored budgetary management,false,5
21,5658698448,Virtual stable framework,true,3
22,7908649491,Operative 6th generation encoding,true,4
23,1353565076,Persevering 3rd generation projection,false,5
24,7215587797,Multi-lateral transitional knowledge user,true,3
25,3225186082,Versatile explicit website,true,3
26,2585130606,Total asynchronous ability,false,5
27,1610032950,Vision-oriented demand-driven internet solution,true,2
28,4256142282,Right-sized discrete product,false,4
29,2768363669,Synergistic coherent info-mediaries,false,4
30,9817849945,Open-architected national approach,true,4
31,2025718144,Grass-roots human-resource matrices,true,1
32,8271004921,Robust client-driven database,true,5
33,1676290125,Visionary full-range superstructure,true,3
34,7876758134,Face to face leading edge hardware,true,3
35,774967188,Total secondary time-frame,true,2
36,8268671750,Fully-configurable multi-tasking workforce,true,5
37,9225584210,Public-key optimizing toolset,true,3
38,9436188862,Total real-time throughput,false,2
39,3621227180,Reverse-engineered contextually-based time-frame,true,5
40,8598410691,Horizontal 4th generation core,false,3
41,8374403217,Programmable intermediate middleware,true,2
42,9635321309,Function-based demand-driven complexity,false,4
43,8501186821,Organic analyzing adapter,true,3
44,7672234323,Seamless multimedia hub,false,1
45,839100000,Re-contextualized holistic implementation,true,3
46,3853990924,Profit-focused incremental collaboration,false,4
47,9995989506,Multi-tiered modular projection,true,2
48,9055875953,Reactive logistical paradigm,false,3
49,5856904680,Down-sized motivating process improvement,true,4
50,7373344135,Seamless composite infrastructure,true,2
51,6087390049,Front-line dedicated open architecture,false,2
52,5279971839,Grass-roots neutral access,true,4
53,3517839477,Face to face upward-trending definition,true,5
54,4351188499,Organic object-oriented local area network,false,3
55,907597351,Up-sized explicit time-frame,false,5
56,652189466,Vision-oriented multi-state circuit,true,4
57,3673668315,Open-source dynamic data-warehouse,true,2
58,7108983095,Persevering motivating data-warehouse,true,3
59,292540477,Programmable real-time toolset,false,4
60,5526641872,Diverse responsive extranet,false,2
61,5291626046,Universal static project,true,5
62,4906486797,Visionary bi-directional hierarchy,false,3
63,7135789962,Sharable responsive interface,true,1
64,582741653,User-centric upward-trending local area network,false,1
